Date,Account Type,Account Name,Category,Revenue Amount,Expense Amount,COGS,Gross Profit,Operating Expenses,Operating Profit (EBIT),Net Profit,Current Assets,Non-Current Assets,Current Liabilities,Non-Current Liabilities,Equity,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Flow Category,Department,Region,Project,Currency,Budget Amount,Actual Amount
2018-01-31,Revenue,Service Revenue,Operating,340290.77,0.0,169064.67,171226.11,0.0,171226.11,171226.11,0.0,0.0,0.0,0.0,0.0,298833.44,0.0,298833.44,Operating,Operations,North America,Cybersecurity Hardening,USD,387747.24,340290.77
2018-01-31,Revenue,Product Sales,Operating,390652.32,0.0,195277.87,195374.45,0.0,195374.45,195374.45,0.0,0.0,0.0,0.0,0.0,345286.77,0.0,345286.77,Operating,Sales,Asia-Pacific,AI Sales Copilot,JPY,381994.73,390652.32
2018-01-31,Revenue,Maintenance Revenue,Operating,414434.14,0.0,185433.71,229000.44,0.0,229000.44,229000.44,0.0,0.0,0.0,0.0,0.0,342715.45,0.0,342715.45,Operating,Sales,Asia-Pacific,Data Platform Modernization,JPY,350571.28,414434.14
2018-01-31,Revenue,Maintenance Revenue,Operating,322285.17,0.0,185059.46,137225.71,0.0,137225.71,137225.71,0.0,0.0,0.0,0.0,0.0,304514.87,0.0,304514.87,Operating,Operations,Asia-Pacific,AI Sales Copilot,JPY,281606.61,322285.17
2018-01-31,Revenue,Product Sales,Operating,466483.52,0.0,196306.72,270176.8,0.0,270176.8,270176.8,0.0,0.0,0.0,0.0,0.0,418001.03,0.0,418001.03,Operating,Operations,Europe,Market Expansion Europe,EUR,457573.14,466483.52
2018-01-31,Revenue,Product Sales,Operating,318890.88,0.0,178890.79,140000.09,0.0,140000.09,140000.09,0.0,0.0,0.0,0.0,0.0,294994.24,0.0,294994.24,Operating,Sales,Europe,Working Capital Optimization,EUR,296701.9,318890.88
2018-01-31,Revenue,Licensing Revenue,Non-Operating,360631.95,0.0,157816.28,202815.66,0.0,202815.66,202815.66,0.0,0.0,0.0,0.0,0.0,320051.65,0.0,320051.65,Operating,Sales,North America,Cybersecurity Hardening,USD,410720.57,360631.95
2018-01-31,Revenue,Licensing Revenue,Non-Operating,413126.08,0.0,231912.94,181213.14,0.0,181213.14,181213.14,0.0,0.0,0.0,0.0,0.0,371029.65,0.0,371029.65,Operating,Sales,Asia-Pacific,APAC Growth 2023,JPY,366473.43,413126.08
2018-01-31,Revenue,Product Sales,Operating,370307.22,0.0,181704.51,188602.71,0.0,188602.71,188602.71,0.0,0.0,0.0,0.0,0.0,311948.69,0.0,311948.69,Operating,Operations,North America,Cybersecurity Hardening,USD,331503.47,370307.22
2018-01-31,Revenue,Product Sales,Operating,384431.61,0.0,163320.75,221110.86,0.0,221110.86,221110.86,0.0,0.0,0.0,0.0,0.0,343740.64,0.0,343740.64,Operating,Sales,North America,Product Launch Q3,USD,401050.65,384431.61
